#Table1
plate,fiberid,mjd,z,zwarning,class,specObjID,h_beta_flux,h_beta_flux_err,h_alpha_flux,h_alpha_flux_err,OIII_5007_flux,OIII_5007_flux_err,OIII_4959_flux,OIII_4959_flux_err,OIII_4363_flux,OIII_4363_flux_err,NII_6548_flux,NII_6548_flux_err,NII_6584_flux,NII_6584_flux_err,SII_6717_flux,SII_6717_flux_err,SII_6731_flux,SII_6731_flux_err,OII_3726_flux,OII_3726_flux_err,OII_3729_flux,OII_3729_flux_err
1716,608,53827,0.1031191,0,GALAXY,1932211430115796992,10.62461,1.957726,114.4037,3.607918,10.968,2.071587,3.60193,2.032943,2.427241,2.002687,22.63758,0.8199698,68.28017,2.473216,17.66482,2.116289,16.25447,2.078197,11.84232,3.345544,13.47176,3.341736
2609,301,54476,0.1678778,0,GALAXY,2937555670297241600,29.95193,2.70958,369.2225,4.408985,37.70554,2.809064,16.73142,2.673469,1.062424,2.246106,72.35464,1.118954,218.2383,3.375021,100.8095,2.970916,67.34842,3.507931,77.43586,5.025222,50.09777,5.498957
346,623,51693,0.08448629,0,GALAXY,389732645107427328,20.88672,2.508904,223.623,3.361109,52.8728,3.06241,16.11801,3.008211,7.541268,3.149643,80.11648,1.15262,241.6498,3.476565,49.13775,3.611025,53.60044,3.123757,17.35786,6.870446,52.08454,7.393874
349,399,51699,0.3615204,0,GALAXY,393048772277463040,7.292754,0.910643,75.12446,3.947891,5.017498,0.8767132,1.929999,0.7638471,1.986207,1.365473,2.691336,0.8933535,8.117691,2.694558,10.49836,2.514188,6.886989,2.861722,2.379612,1.359131,7.92635,1.412384
933,224,52642,0.165824,0,GALAXY,1050526230060754944,46.32966,2.85026,474.3243,5.998268,31.24811,3.203267,5.989136,2.841516,3.197631,2.557455,94.74384,1.430578,285.7693,4.31495,95.72926,3.298842,77.399,3.33584,43.16592,4.208029,51.25428,4.281124
1372,197,53062,0.1266404,0,GALAXY,1544788874507610112,15.19091,2.98812,167.7756,4.976266,11.45808,3.11872,2.79468,3.210302,5.168195,2.86904,41.2005,1.34682,124.2702,4.062316,28.32983,3.682796,18.21076,3.258949,18.21189,4.599935,15.59838,4.486673
1579,18,53473,0.1771355,0,GALAXY,1777800958974126080,27.83117,5.193339,346.6914,12.49835,216.8034,9.44676,63.76973,6.765666,8.689462,4.849647,128.3635,3.557173,387.1739,10.72925,73.07518,6.004152,56.44375,6.535455,79.40627,13.5376,92.3697,14.23561
2110,173,53467,0.1590137,0,GALAXY,2375696415482472448,16.24867,2.527212,182.2164,6.888526,13.23579,3.024768,7.207828,2.665784,1.215851,2.200152,31.02503,1.441312,93.57867,4.347325,30.06646,3.072563,17.06205,2.809483,21.80423,4.031619,8.355171,4.010669
761,526,54524,0.1360129,0,GALAXY,856954490786441216,38.4168,2.193986,415.6072,4.498219,30.35016,2.778428,12.17845,2.110321,2.0971,1.956553,81.86396,1.193531,246.9206,3.599962,84.16044,3.893464,67.67866,3.041245,49.12487,3.814727,34.17391,3.677049
879,486,52365,0.04738396,0,GALAXY,989799648455583744,10.98415,2.167132,120.1274,2.66562,13.76651,2.092913,3.081995,2.015533,1.995932,2.500907,22.59778,0.7313594,68.16013,2.205946,27.86422,1.821981,19.85127,1.820319,2.823333,3.899066,14.80776,3.935416
586,321,52023,0.0876407,0,GALAXY,659865615158241280,63.07832,2.907393,644.4855,6.475851,58.24489,3.107138,24.48192,2.843785,5.414237,2.686729,120.2754,1.53318,362.7784,4.624422,124.4595,4.097649,115.7522,4.119744,39.11581,5.43617,50.28304,5.532008
727,2,52207,0.1754174,0,GALAXY,818529819057743872,20.49483,3.363243,255.1355,30.62844,2.294868,5.047808,6.6104,4.4478,6.325437,3.512656,17.42103,1.185315,52.54585,3.575179,19.00727,3.965799,2.162924,8.987947,11.4082,5.974912,5.37422,5.480162
1438,275,53054,0.02500547,0,GALAXY,1619119708701747200,134.549,4.773006,1359.17,13.36449,64.56565,4.745228,20.47733,4.544426,8.767267,4.435479,289.2899,3.253152,872.5649,9.812248,262.0497,7.086467,215.9594,6.826707,100.7756,10.87768,35.46533,9.978137
1634,320,53299,0.345246,0,GALAXY,1839808464059131904,11.35064,1.210803,118.8577,20.15804,6.3444,1.098984,2.871577,1.105508,1.642417,2.697662,9.010453,1.087143,27.17761,3.27907,9.334576,3.683768,12.46632,3.169585,18.0145,2.520032,5.661312,2.431731
367,12,51997,0.1156163,0,GALAXY,413208597850253312,14.15343,1.840013,150.0449,3.447182,12.12794,2.059604,4.460108,1.850289,4.644379,1.964105,26.63636,0.9855608,80.3414,2.972676,21.75101,2.305592,15.71859,2.200742,12.87849,3.813042,19.86512,3.870252
675,517,52590,0.1266642,0,GALAXY,760124592449677312,88.57381,2.701835,904.1039,6.700402,33.96565,2.645682,7.72143,2.505805,2.595843,2.581441,174.3687,1.446788,525.9361,4.363842,133.0773,3.289163,117.3639,3.045192,40.77748,4.137743,47.33731,4.153119
1003,131,52641,0.1911189,0,QSO,1129313659877615616,25.11307,4.498712,253.3341,7.613867,410.0682,5.5247,120.5018,4.709826,1.811479,3.549353,138.425,2.199542,417.5219,6.634318,104.3905,6.4318,83.16079,5.3917,167.2416,9.385318,82.1239,9.272285
1269,368,52937,0.2869157,0,GALAXY,1428868186127755264,18.32389,3.156729,189.3688,10.79699,16.11032,2.269399,5.198426,2.370023,2.44459,2.978012,30.81236,2.734527,92.93718,8.247956,17.38207,10.65192,62.17632,138.8054,13.61021,5.467824,24.02368,5.633382
1872,614,53386,0.1134044,0,GALAXY,2107853457451935744,15.4679,2.26821,156.6932,3.60918,17.92025,3.360297,1.521043,2.515316,0.4694337,2.759505,40.64079,1.103608,122.582,3.328731,26.82999,2.894221,23.01517,2.434578,18.0705,4.246602,10.07764,4.268535
1875,323,54453,0.03860724,0,GALAXY,2111151185602832384,20.80641,4.085865,209.9367,4.439818,24.79607,3.972782,8.015426,4.027045,3.503944,5.276812,37.70435,1.30928,113.725,3.949086,56.20755,3.596226,41.56231,3.30741,40.67757,13.02354,24.72858,13.26136
716,221,52203,0.07294288,0,GALAXY,806205118276986880,25.7088,2.762439,279.736,5.009529,17.26947,3.075176,10.1973,3.050015,2.051098,3.292805,50.30955,1.360459,151.7452,4.103453,57.22042,3.547222,42.10436,3.443729,37.77921,6.441204,2.166738,6.083826
2232,129,53827,0.0613012,0,GALAXY,2513044115529164800,112.6108,3.184824,1173.393,11.07571,39.2832,2.574799,10.5637,2.313771,1.420286,2.301936,208.799,1.986197,629.786,5.990822,183.9608,3.770979,170.5316,3.66697,61.80074,5.612035,40.18463,5.587309
859,600,52317,0.0780323,0,GALAXY,967312985594816512,23.92271,2.729911,251.8323,4.234592,14.8912,2.978277,5.260998,2.946217,0.8233253,3.019474,82.64779,1.299256,249.2848,3.918852,48.2141,3.487227,32.76842,2.953867,21.53209,5.369237,19.90911,5.553609
1343,630,52790,0.101555,0,GALAXY,1512256794779478016,16.21674,3.050554,301.382,5.152016,36.56406,3.191606,9.684097,5.154904,1.423713,2.783395,90.36085,1.647432,272.5492,4.96903,75.28413,3.572729,52.05625,2.905891,63.3793,7.306948,91.3547,7.530999
1813,515,53903,0.03405247,0,GALAXY,2041398158709254144,71.20376,3.332458,782.3171,8.705735,37.00143,3.650901,16.05078,3.542162,0.3046955,3.372817,201.6404,2.479072,608.1939,7.477445,103.4473,5.051562,98.68602,5.002946,53.86485,6.213367,40.53474,6.033217
2094,450,53851,0.03610217,0,GALAXY,2357758164595664896,44.78258,2.753474,466.1204,5.875202,51.04034,3.066147,18.73538,2.779099,2.750695,2.667566,134.4709,1.724094,405.5953,5.200259,89.22677,3.484868,87.88545,3.574552,28.08046,5.420896,36.29035,5.152527
2794,158,54537,0.08598077,0,GALAXY,3145807846545844224,11.51039,1.861301,115.3851,2.642457,7.602014,1.99665,2.273586,2.016789,0.1893303,2.148071,23.30116,0.7708773,70.28166,2.325141,18.85125,2.101166,15.63928,2.09547,8.683799,3.983298,14.73509,3.802771
2795,589,54563,0.2569929,0,GALAXY,3147052219266787328,11.15065,1.703433,120.4203,3.126752,10.29055,1.591943,4.090471,1.776667,1.48325,1.706531,19.68595,1.086107,59.37738,3.275947,25.92093,2.460145,26.61004,3.066978,10.82649,2.381013,14.74492,2.400014
